id,full_name,description,position_type,referral_id,employer_id,photo_url,photo_origin,notes,work_title,links,photo_url_2,photo_origin_2,notes_2,work_title_2,links_2,commission_id
39329,Ковальчук Сергей Владимирович,от Гродненской городской организации общественного объединения «Белорусский союз офицеров» и собранием избирателей трудового коллектива хоккейной команды Неман (экстралига) ГУ «Хоккейный клуб «Неман»,1,1839,13703,,,,,,,,«Белорусский союз офицеров» и собранием избирателей трудового коллектива хоккейной команды Неман (экстралига) ГУ «Хоккейный клуб «Неман»,,,3499
39330,Костюк Чеслав Владимирович,от Гродненской городской организации общественного объединения «Белорусский союз ветеранов войны в Афганистане» и собранием избирателей трудового коллектива физкультурно-оздоровительного комплекса ГУ «Хоккейный клуб «Неман»,2,1839,13703,,,,,,,,«Белорусский союз ветеранов войны в Афганистане» и собранием избирателей трудового коллектива физкультурно-оздоровительного комплекса ГУ «Хоккейный клуб «Неман»,,,3499
39331,Посвистелик Владимир Валерьевич,от Гродненской городской организации Белорусского Общества Красного Креста и собранием избирателей трудовых коллективов бухгалтерии и планово¬экономического отдела ГУ «Хоккейный клуб «Неман»,3,1839,13703,,,,,,,,«Хоккейный клуб «Неман»,,,3499
39332,Байкиев Руслан Зайнуллович,от собрания избирателей трудового коллектива службы охраны и противопожарной защиты ГУ «Хоккейный клуб «Неман»,0,1839,13703,,,,,,,,«Хоккейный клуб «Неман»,,,3499
39333,Бивойно Андрей Станиславович,"от собрания избирателей трудовых коллективов отдела энергетического, отопления, водопровода и канализации, службы холодильного оборудования и кондиционирования воздуха ГУ «Хоккейный клуб «Неман»",0,1839,13703,,,,,,,,«Хоккейный клуб «Неман»,,,3499
39334,Васильева Наталья Николаевна,от граждан путём подачи заявления,0,4000,5512,https://members2020by.s3.eu-north-1.amazonaws.com/04-021-0001%20%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B0%20%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D1%8F%20%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://rovkovichi.schools.by/teacher/121649,"ГУО ""Ровковичский ясли-сад-средняя школа Чечерского района""",,,,,,,,3499
39335,Горбатюк Юлия Владимировна,от собрания избирателей трудового коллектива хоккейной команды Неман (высшая лига) ГУ «Хоккейный клуб «Неман»,0,1839,13703,,,,,,,,«Хоккейный клуб «Неман»,,,3499
39336,Гривенная Юлия Дмитриевна,от Ленинской районной организации Белорусского фонда мира,0,15,NULL,,,,,,,,,,,3499
39337,Дворин Константин Яковлевич,от собрания избирателей трудового коллектива административно-хозяйственного отдела ГУ «Хоккейный клуб «Неман»,0,1839,13703,,,,,,,,«Хоккейный клуб «Неман»,,,3499
39338,Казакова Наталья Ивановна,от собрания избирателей трудовых коллективов физкультурно-оздоровительного центра и службы автотранспорта ГУ «Хоккейный клуб «Неман»,0,1839,13703,,,,,,,,«Хоккейный клуб «Неман»,,,3499
39339,Кислый Сергей Александрович,от собрания избирателей трудового коллектива учебно-спортивного отдела ГУ «Хоккейный клуб «Неман»,0,1839,13703,,,,,,,,«Хоккейный клуб «Неман»,,,3499
39340,Конюшкевич Сергей Владимирович,от собрания избирателей трудового коллектива службы ремонта и обслуживания ГУ «Хоккейный клуб «Неман»,0,1839,13703,,,,,,,,«Хоккейный клуб «Неман»,,,3499
39341,Левицкий Евгений Евгеньевич,"от Гродненской областной организации Белорусского профессионального союза работников культуры, информации, спорта и туризма",0,22,NULL,,,,,,,,,,,3499
39342,Поваров Вячеслав Валерьевич,"от собрания избирателей трудовых коллективов медико-восстановительного центра, службы электронно-информационного обеспечения и спортивно¬массовых мероприятий ГУ «Хоккейный клуб «Неман»",0,1839,13703,,,,,,,,«Хоккейный клуб «Неман»,,,3499
39343,Старовойт Алла Георгиевна,от Ленинской районной организации общественного объединения «Белорусский союз женщин» г. Гродно,0,8,13703,,,,,,,,,,,3499
39344,Солома Жанна Петровна,от Ленинской районной организации республиканского ОО «Белая Русь» и от граждам нутем подачи заявления,1,4000,4113,https://members2020by.s3.eu-north-1.amazonaws.com/04-021-0002%20%D0%A1%D0%BE%D0%BB%D0%BE%D0%BC%D0%B0%20%D0%96%D0%B0%D0%BD%D0%BD%D0%B0%20%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://16grodno.schools.by/director/1800850,"ГУО ""Средняя школа № 16 г. Гродно""",,,,,,,,3500
39345,Ленец Татьяна Витальевна,от граждан путём подачи заявления и Гродненской городской организации Белорусского Общества Красного Креста,2,4000,4113,https://members2020by.s3.eu-north-1.amazonaws.com/04-021-0002%20%D0%9B%D0%B5%D0%BD%D0%B5%D1%86%20%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0%20%D0%92%D0%B8%D1%82%D0%B0%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://16grodno.schools.by/administration/194967,"ГУО ""Средняя школа № 16 г. Гродно""",,,,,,,,3500
39346,Савко Инна Леонтьевна,"от Гродненской городской организации ""Белорусский профессиональный союз работников образования и науки"" и от граждан рутем подачи заявления",3,4000,4113,https://members2020by.s3.eu-north-1.amazonaws.com/04-021-0002%20%D0%A1%D0%B0%D0%B2%D0%BA%D0%BE%20%D0%98%D0%BD%D0%BD%D0%B0%20%D0%9B%D0%B5%D0%BE%D0%BD%D1%82%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://16grodno.schools.by/teacher/203425,"ГУО ""Средняя школа № 16 г. Гродно""",,,,,,,,3500
39347,Болбат Мария Мечиславовна,от Ленинской районной организации Белорусского фонда мира,0,15,4113,https://members2020by.s3.eu-north-1.amazonaws.com/04-021-0002%20%D0%91%D0%BE%D0%BB%D0%B1%D0%B0%D1%82%20%D0%9C%D0%B0%D1%80%D0%B8%D1%8F%20%D0%9C%D0%B5%D1%87%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://16grodno.schools.by/teacher/203387,"ГУО ""Средняя школа № 16 г. Гродно""",,,,,,,,3500
39348,Грунтова Татьяна Алексеевна,от граждан путём подачи заявления,0,4000,4113,https://members2020by.s3.eu-north-1.amazonaws.com/04-021-0002%20%D0%93%D1%80%D1%83%D0%BD%D1%82%D0%BE%D0%B2%D0%B0%20%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0%20%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://16grodno.schools.by/teacher/203391,"ГУО ""Средняя школа № 16 г. Гродно""",,,,,,,,3500
39349,Жданюк Анна Владимировна,от Гродненского городского комитета ОО «БРСМ»,0,11,4113,https://members2020by.s3.eu-north-1.amazonaws.com/04-021-0002%20%D0%96%D0%B4%D0%B0%D0%BD%D1%8E%D0%BA%20%D0%90%D0%BD%D0%BD%D0%B0%20%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://16grodno.schools.by/teacher/203394,"ГУО ""Средняя школа № 16 г. Гродно""",,,,,,,,3500
39350,Енза Геннадий Викентьевич,от граждан путём подачи заявления,0,4000,4113,https://members2020by.s3.eu-north-1.amazonaws.com/04-021-0002%20%D0%95%D0%BD%D0%B7%D0%B0%20%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D0%B8%D0%B9%20%D0%92%D0%B8%D0%BA%D0%B5%D0%BD%D1%82%D1%8C%D0%B5%D0%B2%D0%B8%D1%87.jpeg,https://16grodno.schools.by/teacher/953275,"ГУО ""Средняя школа № 16 г. Гродно""",,,,,,,,3500
39351,Ковальчук Андрей Васильевич,от граждан путём подачи заявления,0,4000,4113,https://members2020by.s3.eu-north-1.amazonaws.com/04-021-0002%20%D0%9A%D0%BE%D0%B2%D0%B0%D0%BB%D1%8C%D1%87%D1%83%D0%BA%20%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9%20%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87.jpeg,https://16grodno.schools.by/teacher/203404,"ГУО ""Средняя школа № 16 г. Гродно""",,,,,,,,3500
39352,Ковальчук Снежана Львовна,от собрания избирателей трудового коллектива ГУО «Средняя школа № 16 г. Гродно»,0,1882,4113,https://members2020by.s3.eu-north-1.amazonaws.com/04-021-0002%20%D0%9A%D0%BE%D0%B2%D0%B0%D0%BB%D1%8C%D1%87%D1%83%D0%BA%20%D0%A1%D0%BD%D0%B5%D0%B6%D0%B0%D0%BD%D0%B0%20%D0%9B%D1%8C%D0%B2%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://16grodno.schools.by/administration/1885261,"ГУО ""Средняя школа № 16 г. Гродно""",,,,,,,,3500
39353,Микула Оксана Михайловна,"от Ленинской районной организации ОО ""Белорусский союз женщин""",0,8,4113,https://members2020by.s3.eu-north-1.amazonaws.com/04-021-0002%20%D0%9C%D0%B8%D0%BA%D1%83%D0%BB%D0%B0%20%D0%9E%D0%BA%D1%81%D0%B0%D0%BD%D0%B0%20%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://16grodno.schools.by/administration/194969,"ГУО ""Средняя школа № 16 г. Гродно""",,,,,,,,3500
39354,Пантюхов Николай Петрович,от граждан путём подачи заявления,0,4000,4113,https://members2020by.s3.eu-north-1.amazonaws.com/04-021-0002%20%D0%9F%D0%B0%D0%BD%D1%82%D1%8E%D1%85%D0%BE%D0%B2%20%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%20%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87.jpeg,https://16grodno.schools.by/teacher/203419,"ГУО ""Средняя школа № 16 г. Гродно""",,,,,,,,3500
