id,full_name,description,position_type,referral_id,employer_id,photo_url,photo_origin,notes,work_title,links,photo_url_2,photo_origin_2,notes_2,work_title_2,links_2,commission_id
10286,Александрович Геннадий Иванович,от городской организации Республиканского общественного объединения «Белая Русь»,1,4,10210,https://members2020by.s3.eu-north-1.amazonaws.com/01-047-0001%20%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87%20%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D0%B8%D0%B9%20%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87.jpeg,http://xpress.by/2018/01/06/byt-vsegda-na-vysote/,«Барановичское отделение БелЖД» Барановичская дистанция электросвязи,Зам.начальника,http://xpress.by/2017/01/21/nagradili-za-trud/,,,,,,842
10287,Мухлынина Лилия Витальевна,от трудового коллектива Барановичской дистанции электроснабжения транспортного республиканского унитарного предприятия «Барановичское отделение Белорусской железной дороги»,2,194,10210,,,«Барановичское отделение БелЖД» Барановичская дистанция электросвязи,"Зам. начальника по идеологической работе, кадрам и социальным вопросам",https://baranovichi.rw.by/about_us/structure/distancija_elektrosnabzhenija/,,,,,,842
10288,Гринчук Ольга Анатольевна,от граждан путем подачи заявления,3,4000,10186,,,,,,,,,,,842
10289,Берещенко Андрей Александрович,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,842
10290,Зелюткина Ольга Анатольевна,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,842
10291,Капцевич Сергей Владимирович,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,842
10292,Матяс Павел Викторович,от первичной профсоюзной организации Барановичской дистанции электроснабжения транспортного республиканского унитарного предприятия «Барановичское отделение Белорусской железной дороги» Белорусского профсоюза работников транспорта и коммуникаций,0,194,NULL,,,,,,,,,,,842
10293,Нацкович Елена Эдуардовна,от городской организации Республиканского общественного объединения «Белорусское общество Красного Креста»,0,5,NULL,,,,,,,,,,,842
10294,Прищепов Сергей Петрович,от городского комитета общественного объединения «Белорусский республиканский союз молодежи»,0,11,NULL,,,,,,,,,,,842
10295,Сокол Максим Вячеславович,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,842
10296,Шабатько Жанна Александровна,от городской организации общественного объединения «Белорусский союз женщин»,0,8,NULL,,,,,,,,,,,842
10297,Шереметов Олег Михайлович,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,842
10298,Шестак Ольга Александровна,от граждан путем подачи заявления,0,4000,10210,,,,,,,,,,,842
10299,Бородовский Андрей Николаевич,от граждан путем подачи заявления,1,4000,13444,,,,,,,,,,,843
10300,Приходько Леонид Алексеевич,от городской организации Республиканского общественного объединения «Белая Русь»,2,4,13445,,,,,,,,,,,843
10301,Лобажевич Наталья Валерьевна,от граждан путем подачи заявления,3,4000,13443,,,,,,,,,,,843
10302,Бутусов Артем Сергеевич,от городского комитета общественного объединения «Белорусский республиканский союз молодежи»,0,11,NULL,,,,,,,,,,,843
10303,Евтюхин Александр Анатольевич,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,843
10304,Жилич Наталья Владимировна,от городской организации Белорусского общественного объединения ветеранов,0,1,NULL,,,,,,,,,,,843
10305,Логвин Наталья Анатольевна,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,843
10306,Романко Александр Викторович,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,843
10307,Сериков Алексей Игоревич,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,843
10308,Скороход Александр Владимирович,от первичной профсоюзной организации Барановичской дистанции пути транспортного республиканского унитарного предприятия «Барановичское отделение Белорусской железной дороги» Белорусского профсоюза работников транспорта и коммуникаций,0,194,NULL,,,,,,,,,,,843
10309,Хованский Дмитрий Леонидович,от граждан путем подачи заявления,0,4000,10210,,,,,,,,,,,843
10310,Шлейко Виталий Александрович,от трудового коллектива Барановичской дистанции пути транспортного республиканского унитарного предприятия «Барановичское отделение Белорусской железной дороги»,0,194,10210,,,,,,,,«Барановичское отделение Белорусской железной дороги»,,,843
10311,Метельская Елена Валерьяновна,от городской организации Белорусского профсоюза работников образования и науки,1,26,NULL,,,,,,,,,,,844
10312,Пищ Жанна Степановна,от граждан путем подачи заявления,2,4000,13190,,,,,,,,,,,844
10313,Пшеничная Ольга Владимировна,от трудового коллектива государственного учреждения образования «Средняя школа №12 г.Барановичи»,3,NULL,13190,https://members2020by.s3.eu-north-1.amazonaws.com/01-047-0003%20%D0%9F%D1%88%D0%B5%D0%BD%D0%B8%D1%87%D0%BD%D0%B0%D1%8F%20%D0%9E%D0%BB%D1%8C%D0%B3%D0%B0%20%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,http://sch12.baranovichi.edu.by/ru/main.aspx?guid=1261,"ГУО ""Средняя школа №12 имени Героя Советского Союза И.И.Кабушкина г.Барановичи""",Директор,,,,«Средняя школа №12 г.Барановичи»,,,844
10314,Богушевич Жанна Владимировна,от городской организации общественного объединения «Белорусский Союз женщин»,0,8,13190,,,"ГУО ""Средняя школа №12 имени Героя Советского Союза И.И.Кабушкина г.Барановичи""",Учитель,http://sch12.baranovichi.edu.by/ru/main.aspx?guid=1051,,,,,,844
10315,Бритько Жанна Леонидовна,от городской организации общественного объединения «Белорусский фонд мира»,0,15,13190,,,"ГУО ""Средняя школа №12 имени Героя Советского Союза И.И.Кабушкина г.Барановичи""",Учитель,http://sch12.baranovichi.edu.by/ru/main.aspx?guid=1051,,,,,,844
10316,Колесников Владимир Борисович,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,844
10317,Кудина Инна Александровна,от городской организации Республиканского общественного объединения «Белорусское общество Красного Креста»,0,5,13190,,,"ГУО ""Средняя школа №12 имени Героя Советского Союза И.И.Кабушкина г.Барановичи""",Учитель,http://sch12.baranovichi.edu.by/ru/main.aspx?guid=1051,,,,,,844
10318,Логин Александр Александрович,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,844
10319,Семашко Ирина Николаевна,от городской организации Белорусского общественного объединения ветеранов,0,1,13190,,,,,,,,,,,844
10320,Соколовская Людмила Николаевна,от граждан путем подачи заявления,0,4000,13190,,,"ГУО ""Средняя школа №12 имени Героя Советского Союза И.И.Кабушкина г.Барановичи""",Учитель,http://sch12.baranovichi.edu.by/ru/main.aspx?guid=1051,,,,,,844
10321,Хорута Янина Станиславовна,от граждан путем подачи заявления,0,4000,13190,,,"ГУО ""Средняя школа №12 имени Героя Советского Союза И.И.Кабушкина г.Барановичи""",Учитель,http://sch12.baranovichi.edu.by/ru/main.aspx?guid=1051,,,,,,844
10322,Хреновская Ольга Ивановна,от граждан путем подачи заявления,0,4000,13190,,,"ГУО ""Средняя школа №12 имени Героя Советского Союза И.И.Кабушкина г.Барановичи""",Учитель,http://sch12.baranovichi.edu.by/ru/main.aspx?guid=1051,,,,,,844
10323,Юч Елена Аркадьевна,от городской организации Республиканского общественного объединения «Белая Русь»,0,4,13190,,,"ГУО ""Средняя школа №12 имени Героя Советского Союза И.И.Кабушкина г.Барановичи""",Учитель,http://sch12.baranovichi.edu.by/ru/main.aspx?guid=1051,,,,,,844
10324,Шорин Николай Юрьевич,от граждан путем подачи заявления,1,4000,13304,,,,,,,,,,,845
10325,Желтогирко Вера Ивановна,от городской организации Белорусского общественного объединения ветеранов,2,1,10183,,,,,,,,,,,845
10326,Былинская Татьяна Семеновна,от граждан путем подачи заявления,3,4000,13411,,,,,,,,,,,845
10327,Гатило Марина Владимировна,от городского комитета общественного объединения «Белорусский республиканский союз молодежи»,0,11,NULL,,,,,,,,,,,845
10328,Гусаковская Наталья Вячеславовна,от трудового коллектива грузового цеха станции Барановичи-Центральные транспортного республиканского унитарного предприятия «Барановичское отделение Белорусской железной дороги»,0,194,10210,,,,,,,,«Барановичское отделение Белорусской железной дороги»,,,845
10329,Довнар Валерий Станиславович,от трудового коллектива цеха движения станции Барановичи-Центральные транспортного республиканского унитарного предприятия «Барановичское отделение Белорусской железной дороги»,0,194,10210,,,,,,,,«Барановичское отделение Белорусской железной дороги»,,,845
10330,Колос Роман Юрьевич,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,845
10331,Миселюк Жанна Егоровна,от первичной профсоюзной организации станции Барановичи-Центральные транспортного республиканского унитарного предприятия «Барановичское отделение Белорусской железной дороги» Белорусского профсоюза работников транспорта и коммуникаций,0,194,NULL,,,,,,,,,,,845
10332,Мять Елена Леонидовна,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,845
10333,Сорговицкая Людмила Анатольевна,от трудового коллектива администрации станции Барановичи-Центральные транспортного республиканского унитарного предприятия «Барановичское отделение Белорусской железной дороги»,0,194,10210,,,,,,,,«Барановичское отделение Белорусской железной дороги»,,,845
10334,Чурай Вадим Владимирович,от городской организации Республиканского общественного объединения «Белая Русь»,0,4,10210,,,,,,,,,,,845
10335,Щелкунова Инна Ивановна,от трудового коллектива хозяйственного цеха станции Барановичи-Центральные транспортного республиканского унитарного предприятия «Барановичское отделение Белорусской железной дороги»,0,194,10210,,,,,,,,«Барановичское отделение Белорусской железной дороги»,,,845
10336,Титов Виталий Анатольевич,от первичной профсоюзной организации открытого акционерного общества «Барановичский завод станкопринадлежностей» Белорусского профсоюза работников отраслей промышленности «БЕЛПРОФМАШ»,1,28,10199,,,,,,,,,,,846
10337,Апанович Вадим Вячеславович,от трудового коллектива открытого акционерного общества «Барановичский завод станкопринадлежностей»,2,NULL,10199,,,,,,,,«Барановичский завод станкопринадлежностей»,,,846
10338,Плотникова Елена Николаевна,от городской организации Республиканского общественного объединения «Белая Русь»,3,4,NULL,,,,,,,,,,,846
10339,Агейко Ирина Дмитриевна,от городского комитета общественного объединения «Белорусский республиканский союз молодежи»,0,11,NULL,,,,,,,,,,,846
10340,Катукова Людмила Викторовна,от городской организации общественного объединения «Белорусский союз женщин»,0,8,NULL,,,,,,,,,,,846
10341,Карагодина Наталия,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,846
10342,Колосова Светлана Вадимовна,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,846
10343,Марчик Людмила Борисовна,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,846
10344,Шестак Наталья Георгиевна,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,846
10345,Шибут Дмитрий Викторович,от граждан путем подачи заявления,0,4000,10199,,,,,,,,,,,846
10346,Войцеховская Вера Михайловна,от трудового коллектива государственного учреждения образования «Лицей № 1 г.Барановичи»,1,163,6209,https://members2020by.s3.eu-north-1.amazonaws.com/01-047-0006%20%D0%92%D0%BE%D0%B9%D1%86%D0%B5%D1%85%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%20%D0%92%D0%B5%D1%80%D0%B0%20%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0.png,http://lyceum1.baranovichi.edu.by/ru/main.aspx?guid=1261,ГУО «Лицей №1 г. Барановичи»,,,,,«Лицей № 1 г.Барановичи»,,,847
10347,Шукало Тамара Васильевна,от городской организации республиканского общественного объединения «Белорусский союз женщин»,2,8,NULL,,,,,,,,,,,847
10348,Грицевич Светлана Николаевна,от городской организации Республиканского общественного объединения «Белая Русь»,3,4,NULL,,,,,,,,,,,847
10349,Андреева Светлана Петровна,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,847
10350,Ващилко Юлия Александровна,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,847
10351,Данжурова Раиса Павловна,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,847
10352,Кагитин Геннадий Юрьевич,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,847
10353,Кадевич Татьяна Вячеславовна,от городской организации Республиканского общественного объединения «Белорусское общество Красного Креста»,0,5,NULL,,,,,,,,,,,847
10354,Лисина Марина Петровна,от граждан путем подачи заявления,0,4000,NULL,,,,,,,,,,,847
10355,Мишкевич Елена Ивановна,от городской организации Белорусского профсоюза работников образования и науки,0,26,NULL,,,,,,,,,,,847
10356,Орловская Анна Юрьевна,от городского комитета общественного объединения «Белорусский республиканский союз молодежи»,0,11,6209,https://members2020by.s3.eu-north-1.amazonaws.com/01-047-0006%20%D0%9E%D1%80%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%20%D0%90%D0%BD%D0%BD%D0%B0%20%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,http://lyceum1.baranovichi.edu.by/ru/main.aspx?guid=1261,ГУО «Лицей №1 г. Барановичи»,,,,,,,,847
10357,Рябцева Александра Леонидовна,от граждан путем подачи заявления,0,4000,6209,,,,,,,,,,,847
10358,Рязанцева Светлана Владимировна,от граждан путем подачи заявления,0,4000,6209,,,ГУО «Лицей №1 г. Барановичи»,,http://lyceum1.baranovichi.edu.by/ru/main.aspx?guid=2311,,,,,,847
10359,Пятигоров Сергей Владимирович,от городской организации Республиканского общественного объединения «Белая Русь»,1,4,NULL,,,,,,,,,,,848
10360,Пашкевич Татьяна Анатольевна,от граждан путем подачи заявления,2,4000,5597,https://members2020by.s3.eu-north-1.amazonaws.com/01-047-0007%20%D0%9F%D0%B0%D1%88%D0%BA%D0%B5%D0%B2%D0%B8%D1%87%20%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0%20%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://sch9molod.schools.by/teacher/1654528,"ГУО ""Средняя школа №9 г. Молодечно""",,,,,,,,848
10361,Жовнеревич Наталья Александровна,от трудового коллектива коммунального унитарного ремонтно-эксплуатационного предприятия «Жилищное ремонтно- эксплуатационное управление г.Барановичи»,3,NULL,11361,,,,,,,,«Жилищное ремонтно- эксплуатационное управление г.Барановичи»,,,848
10362,Аксеневич Елена Александровна,от городской организации общественного объединения «Белорусский фонд мира»,0,15,NULL,,,,,,,,,,,848
