id,full_name,description,position_type,referral_id,employer_id,photo_url,photo_origin,notes,work_title,links,photo_url_2,photo_origin_2,notes_2,work_title_2,links_2,commission_id
28921,Приходько Михаил Григорьевич,Железнодорожной районной организацией г.Гомеля республиканского общественного объединения «Белая Русь»,1,4,NULL,,,,,,,,,,,2502
28922,Климович Светлана Сергеевна,трудовым коллективом структурного подразделения «Участок обработки древесины и ремонта» открытого акционерного общества «Ратон»,2,NULL,13566,,,,,,,,«Участок обработки древесины и ремонта» открытого акционерного общества «Ратон»,,,2502
28923,Волкова Галина Леонидовна,Железнодорожной районной организацией Коммунистической партии Беларуси г.Гомеля,3,7,NULL,,,,,,,,,,,2502
28924,Гришаева Ирина Александровна,Железнодорожной районной организацией г.Гомеля общественного объединения «Белорусское Общество Красного Креста»,0,5,NULL,,,,,,,,,,,2502
28925,Гузненок Елена Алексеевна,трудовыми коллективами структурных подразделений «Центральная заводская лаборатория и метрология» и «Отдел технического контроля» открытого акционерного общества «Ратон»,0,NULL,13812,,,,,,,,«Центральная заводская лаборатория и метрология» и «Отдел технического контроля» открытого акционерного общества «Ратон»,,,2502
28926,Дробышева Валентина Евгеньевна,Железнодорожной районной организацией общественного объединения «Белорусский союз женщин» г.Гомеля,0,8,NULL,,,,,,,,,,,2502
28927,Миненков Сергей Васильевич,Гомельской областной организацией Социал-демократической партии Народного Согласия,0,2,NULL,,,,,,,,,,,2502
28928,Поздняков Юрий Владимирович,"трудовым коллективом структурного подразделения «Участок штамповки цеха сварки, литья и обработки материалов» открытого акционерного общества «Ратон»",0,NULL,13596,,,,,,,,"«Участок штамповки цеха сварки, литья и обработки материалов» открытого акционерного общества «Ратон»",,,2502
28929,Силкина Ольга Викторовна,Железнодорожной районной организацией Общественного объединения «Белорусский фонд мира»,0,15,NULL,,,,,,,,,,,2502
28930,Фабушева Ольга Николаевна,Железнодорожной районной организацией г.Гомеля республиканского общественного объединения «Белая Русь»,0,4,NULL,,,,,,,,,,,2502
28931,Фомичева Татьяна Николаевна,Железнодорожной районной г.Гомеля организацией Белорусского профессионального союза работников образования и науки,0,26,NULL,,,,,,,,,,,2502
28932,Хомякова Светлана Петровна,Гомельской областной организацией Белорусского профессионального союза работников отраслей промышленности «БЕЛПРОФМАШ»,0,28,13812,,,,,,,,,,,2502
28933,Белова Диана Эдуардовна,Железнодорожной районной организацией г.Гомеля общественного объединения «Белорусское Общество Красного Креста»,1,5,NULL,,,,,,,,,,,2503
28934,Зажецкая Светлана Владимировна,Железнодорожной районной организацией г.Гомеля республиканского общественного объединения «Белая Русь»,2,4,NULL,,,,,,,,,,,2503
28935,Афанасенко Валентина Ильинична,трудовыми коллективами структурных подразделений «Бюро электросхемотехники специального конструкторского бюро» и «Канцелярия» открытого акционерного общества «Ратон»,3,NULL,10656,,,,,,,,«Бюро электросхемотехники специального конструкторского бюро» и «Канцелярия» открытого акционерного общества «Ратон»,,,2503
